a2jmidid 8-1
python2-six 1.10.0-1
python2-snowballstemmer 1.2.1-1
python2-sphinx 1.4.3-1
python2-sphinx-alabaster-theme 0.7.7-1
python2-sphinx_rtd_theme 0.1.9-1
python2-twisted 16.2.0-1
python2-xdg 0.25-3
python2-zope-interface 4.1.3-3
qca-qt4 2.1.1-5
qhull 2015.2-1
qjson 0.8.1-5
qmidinet-git 119.fba6e3e-1
qpdf 6.0.0-2
qrencode 3.4.4-1
qscintilla-qt4 2.9.1-3
qsynth 0.4.0-2
qt4 4.8.7-9
qt5-base 5.6.0-7
qt5-declarative 5.6.0-1
qt5-graphicaleffects 5.6.0-1
qt5-location 5.6.0-1
qt5-multimedia 5.6.0-1
qt5-quickcontrols 5.6.0-1
qt5-sensors 5.6.0-1
qt5-svg 5.6.0-1
qt5-tools 5.6.0-2
qt5-webchannel 5.6.0-1
qt5-webkit 5.6.0-4
qt5-websockets 5.6.0-1
qt5-x11extras 5.6.0-1
qt5-xmlpatterns 5.6.0-1
qtchooser 53-2
qtkeychain-qt4 0.6.1-1
qtwebkit 2.3.4-4
quazip-qt4 0.7.2-1
rakarrack-git a620840-2
randrproto 1.5.0-1
ranger 1.7.2-1
raptor 2.0.15-4
rar 5.3.0-1
rasqal 1:0.9.33-1
readline 6.3.008-3
recode 3.6-9
recordproto 1.14.2-2
redland 1:1.0.17-3
reiserfsprogs 3.6.24-1
renderproto 0.11.1-3
resourceproto 1.2.0-3
rest 0.8.0-1
rfkill 0.5-1
rpcbind 0.2.3-3
rpmextract 1.0-7
rsync 3.1.2-1
rtapp 0.6.5-4
rtaudio 4.1.2-1
rtirq 20150216-1
rtkit 0.11-5
rtmidi 2.1.1-1
rtmpdump 1:2.4.r96.fa8646d-2
rubberband 1.8.1-3
ruby 2.3.1-1
ruby-actionmailer 4.2.5-1
ruby-actionpack 4.2.6-2
ruby-actionview 4.2.6-2
ruby-activemodel 4.2.6-1
ruby-activerecord 4.2.6-1
ruby-activesupport 4.2.6-2
ruby-arel 6.0.3-1
ruby-builder 3.2.2-1
ruby-bundler 1.12.5-1
ruby-erubis 2.7.0-1
ruby-i18n 0.7.0-1
ruby-json 1.8.3-1
ruby-loofah 2.0.3-2
ruby-mail 2.6.4-1
ruby-mime-types 3.1-1
ruby-mime-types-data 3.2016.0221-1
ruby-mini_portile 0.7.0.rc4-1
ruby-nokogiri 1.6.6.2-2
ruby-polyglot 0.3.5-3
ruby-rack 1.6.4-2
ruby-rack-test 0.6.3-1
ruby-rails 4.2.6-1
ruby-rails-html-sanitizer 1.0.3-3
ruby-railties 4.2.6-1
ruby-sprockets 3.6.0-1
ruby-sprockets-rails 3.0.4-1
ruby-thor 0.19.1-1
ruby-thread_safe 0.3.5-1
ruby-treetop 1.5.3-3
ruby-tzinfo 1.2.2-1
run-parts 4.7-1
rxvt-unicode 9.22-2
rxvt-unicode-terminfo 9.22-2
s-nail 14.8.8-1
sane 1.0.25-1
sbc 1.3-1
sbsms 2.0.2-2
sbt 1:0.13.11-1
scala 2.11.8-1
schedtool 1.3.0-3
schroedinger 1.0.11-3
scons 2.4.1-1
scrnsaverproto 1.2.2-2
scrot 0.8.13-1
sdl 1.2.15-7
sdl_image 1.2.12-3
sed 4.2.2-4
semver 5.1.0-1
serd 0.22.0-1
serf 1.3.8-2
shadow 4.2.1-3
shared-mime-info 1.6-2
shutter 0.93.1-2
sip 4.18-1
skype 4.3.0.37-7
slang 2.3.0-1
smbclient 4.4.4-1
smpeg 0.4.5-2
snappy 1.1.3-2
sooperlooper 1.7.3-4
sord 0.14.0-1
sound-theme-freedesktop 0.8-2
soundtouch 1.9.2-1
source-highlight 3.1.8-8
sox 14.4.2-1
spacefm 1.0.5-2
spandsp 0.0.6-1
sparsehash 2.0.3-1
speech-dispatcher 0.8.4-1
speex 1.2rc2-1
speexdsp 1.2rc3-2
springseed 2.0-5
sqlite 3.13.0-1
sratom 0.4.6-1
startup-notification 0.12-4
stk 4.5.0-2
sublime-text-dev 3.3114-1
subversion 1.9.4-1
sudo 1.8.16-1
suitesparse 4.4.5-1
supercollider 3.6.6-2
swig 3.0.9-1
sysfsutils 2.1.0-9
syslinux 6.03-6
sysstat 11.2.2-1
system-config-printer 1.5.7-2
systemd 230-3
systemd-sysvcompat 230-3
t1lib 5.1.2-5
taglib 1.11-1
talloc 2.1.7-1
tar 1.29-1
tcl 8.6.5-2
tcllib 1.18-1
tdb 1.3.8-1
tevent 0.9.28-1
texinfo 6.1-4
texlive-bin 2015.37497-12
texlive-core 2015.38835-1
thin-provisioning-tools 0.6.1-2
thinkpad-yoga-scripts-git r55.d13444c-1
thunderbird 45.1.1-1
tk 8.6.5-1
tkpng 0.9-1
tlp 0.8-1
tlp-rdw 0.8-1
tomahawk 0.8.4-4
tor 0.2.7.6-3
tp_smapi 0.42-1
tpacpi-bat-git 107.1fdbc80-1
tracktion-6 6.3.1-1
transmission-cli 2.92-1
tslib 1.1-1
ttf-dejavu 2.35-1
ttf-font-awesome 4.6.1-1
ttf-liberation 2.00.1-6
tunefish4-vst-bin 4.0.1-1
tuxboot 1:0.8-1
tzdata 2016d-1
udevil 0.4.4-1
udisks2 2.1.7-1
uncrustify 0.63-1
unzip 6.0-12
upower 0.99.4-2
usbutils 008-1
util-linux 2.28-1
v4l-utils 1.10.0-1
vamp-plugin-sdk 2.6-1
vertex-themes-git r572.20160415-1
vi 1:070224-2
vid.stab 1.1-1
videoproto 2.3.3-1
vim 7.4.1910-1
vim-runtime 7.4.1910-1
virtualbox 5.0.20-1
virtualbox-ext-oracle 5.0.20-1
virtualbox-guest-iso 5.0.20-1
virtualbox-host-modules-arch 5.0.20-4
visual-studio-code 1.1.1-3
vlc 2.2.4-1
wavpack 4.80.0-1
wayland 1.11.0-1
wayland-protocols 1.4-1
webkit2gtk 2.12.3-1
webkitgtk 2.4.11-1
webkitgtk2 2.4.11-1
webrtc-audio-processing 0.1-3
websocketpp 0.7.0-1
wget 1.17.1-2
which 2.21-2
whysynth 20120903-2
wildmidi 0.3.9-1
wine 1.9.11-1
winetricks 20160425-1
wireless_tools 30.pre9-1
wpa_supplicant 1:2.5-3
wxgtk 3.0.2-5
wxgtk2.8 2.8.12.1-4
x265 1.9-1
xapian-core 1:1.2.23-1
xapian-tcl-bindings 1.2.21-2
xarchiver 0.5.4.6-1
xautolock 2.2-4
xbindkeys 1.8.6-1
xcb-proto 1.12-2
xcb-util 0.4.0-1
xcb-util-cursor 0.1.3-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xclip 0.12.git.20160201-1
xdg-app 0.5.2-1
xdg-utils 1.1.1-2
xdm-archlinux 0.5-3
xenlism-minimalism-theme 2.0-2
xenlism-wildfire 2.0.2-1
xextproto 7.3.0-1
xf86-input-evdev 2.10.3-1
xf86-input-joystick 1.6.2-6
xf86-input-keyboard 1.8.1-2
xf86-input-libinput 0.19.0-1
xf86-input-mouse 1.9.1-2
xf86-input-synaptics-xswipe-git r1464.8cc57ce-2
xf86-input-vmmouse 13.1.0-2
xf86-input-void 1.4.1-2
xf86-input-wacom 0.33.0-1
xf86-video-amdgpu 1.1.0-1
xf86-video-ark 0.7.5-7
xf86-video-ati 1:7.7.0-1
xf86-video-dummy 0.3.7-5
xf86-video-fbdev 0.4.4-5
xf86-video-glint 1.2.8-7
xf86-video-i128 1.3.6-7
xf86-video-intel 1:2.99.917+654+ga508b11-1
xf86-video-mach64 6.9.5-2
xf86-video-neomagic 1.2.9-2
xf86-video-nouveau 1.0.12-1
xf86-video-nv 2.1.20-7
xf86-video-openchrome 0.4.0-1
xf86-video-r128 6.10.1-1
xf86-video-savage 2.3.8-2
xf86-video-siliconmotion 1.7.8-2
xf86-video-sis 0.10.8-2
xf86-video-tdfx 1.4.5-7
xf86-video-trident 1.3.7-2
xf86-video-vesa 2.3.4-2
xf86-video-vmware 13.1.0-3
xf86-video-voodoo 1.2.5-7
xf86dgaproto 2.1-3
xf86driproto 2.1.1-3
xf86vidmodeproto 2.3.1-3
xfsprogs 4.5.0-1
xine-lib 1.2.6-9
xineramaproto 1.2.1-3
xkeyboard-config 2.17-2
xmlto 0.0.28-1
xorg-bdftopcf 1.0.5-1
xorg-docs 1.7.1-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-100dpi 1.0.3-2
xorg-fonts-75dpi 1.0.3-2
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.3-4
xorg-iceauth 1.0.7-1
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-2
xorg-mkfontscale 1.1.2-1
xorg-server 1.18.3-2
xorg-server-common 1.18.3-2
xorg-server-devel 1.18.3-2
xorg-server-xdmx 1.18.3-2
xorg-server-xephyr 1.18.3-2
xorg-server-xnest 1.18.3-2
xorg-server-xvfb 1.18.3-2
xorg-server-xwayland 1.18.3-2
xorg-sessreg 1.1.0-1
xorg-setxkbmap 1.3.1-1
xorg-smproxy 1.0.6-1
xorg-util-macros 1.19.0-1
xorg-x11perf 1.6.0-1
xorg-xauth 1.0.9-1
xorg-xbacklight 1.2.1-1
xorg-xclock 1.0.7-1
xorg-xcmsdb 1.0.5-1
xorg-xcursorgen 1.0.6-1
xorg-xdm 1.1.11-6
xorg-xdpyinfo 1.3.2-1
xorg-xdriinfo 1.0.5-1
xorg-xev 1.2.2-1
xorg-xfontsel 1.0.5-1
xorg-xgamma 1.0.6-1
xorg-xhost 1.0.7-1
xorg-xinit 1.3.4-4
xorg-xinput 1.6.2-1
xorg-xkbcomp 1.3.1-1
xorg-xkbevd 1.1.4-1
xorg-xkbutils 1.0.4-2
xorg-xkill 1.0.4-1
xorg-xlsatoms 1.1.2-1
xorg-xlsclients 1.1.3-1
xorg-xmessage 1.0.4-2
xorg-xmodmap 1.0.9-1
xorg-xpr 1.0.4-2
xorg-xprop 1.2.2-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.0-2
xorg-xrefresh 1.0.5-1
xorg-xset 1.2.3-1
xorg-xsetroot 1.1.1-2
xorg-xvinfo 1.1.3-1
xorg-xwd 1.0.6-1
xorg-xwininfo 1.1.3-1
xorg-xwud 1.0.4-2
xproto 7.0.29-1
xvidcore 1.3.4-1
xz 5.2.2-1
yajl 2.1.0-1
yaourt 1.8.1-1
yelp-tools 3.18.0-1
yelp-xsl 3.20.1-1
zathura 0.3.6-2
zathura-djvu 0.2.5-2
zathura-pdf-mupdf 0.3.0-2
zenity 3.20.0-1
zeromq 4.1.4-1
zip 3.0-7
zita-ajbridge 0.6.0-2
zita-alsa-pcmi 0.2.0-3
zita-convolver 3.1.0-3
zita-resampler 1.3.0-5
zlib 1.2.8-4
zukitwo-themes 20141022-1
zvbi 0.2.35-1
zziplib 0.13.62-2
