community/virtualbox-guest-iso 5.0.20-1
community/virtualbox-host-modules-arch 5.0.20-4
community/websocketpp 0.7.0-1
community/winetricks 20160425-1
community/xarchiver 0.5.4.6-1
community/xautolock 2.2-4
community/xbindkeys 1.8.6-1
community/xdm-archlinux 0.5-3
community/zathura 0.3.6-2
community/zathura-djvu 0.2.5-2
community/zathura-pdf-mupdf 0.3.0-2
community/zeromq 4.1.4-1
community/zita-convolver 3.1.0-3
